longitude,latitude,Country name
10.34,51.82,Germany
8.81306,49.00083,Germany
10.88888889,49.89166667,Germany
11.15,51.78333,Germany
6.85,49.24444,Germany
8.75389,49.91667,Germany
6.957222222,50.94111111,Germany
11.3295,50.97477778,Germany
12.65278,51.86472,Germany
11.32861,50.9775,Germany
13.39861111,52.51972222,Germany
10.307,50.96677778,Germany
12.42083,51.8425,Germany
9.061305556,47.69872222,Germany
7.046111111,51.49138889,Germany
7.694166667,50.17361111,Germany
13.08527778,54.3025,Germany
8.807472222,53.07597222,Germany
12.09916667,49.02055556,Germany
13.45,52.44833333,Germany
9.812222222,51.98388889,Germany
11.57861111,49.94444444,Germany
9.393055556,51.31583333,Germany
9.41025,51.77827778,Germany
9.999444444,53.54555556,Germany
9.765555556,48.38777778,Germany
11.804,51.15480556,Germany
9.454111111,54.46194444,Germany
10.902,48.36547222,Germany
8.6675,49.87638889,Germany
8.439538889,49.31621111,Germany
-0.49361,5.39103,Ghana
-1.625833333,6.401111111,Ghana
21.89694,37.43498,Greece
22.49617,38.48149,Greece
23.72618,37.97087,Greece
24.21667,40.26667,Greece
21.63333,39.71667,Greece
22.965,40.63833,Greece
23.11666667,37.66666667,Greece
28.22778,36.44722,Greece
22.36667,37.08056,Greece
21.66666667,37.65,Greece
25.26667,37.4,Greece
22.75,38.4,Greece
26.94333,37.69083,Greece
22.31833,40.47139,Greece
22.75,37.73333333,Greece
26.55,37.3,Greece
19.9275,39.62394139,Greece
24.28527778,41.01472222,Greece
-89.61666667,17.21666667,Guatemala
-90.73381,14.556504,Guatemala
-89.04025,15.27059,Guatemala
-72.234268,19.573025,Haiti
12.45736,41.90216,Holy See
-89.13333,14.85,Honduras
-84.675,15.74444444,Honduras
19.07067,47.48242,Hungary
19.52917,47.99444,Hungary
17.78444,47.55889,Hungary
21.15678,47.59458,Hungary
18.22778,46.07444,Hungary
21.35,48.15,Hungary
-21.03725,64.25380556,Iceland
-20.60222222,63.30305556,Iceland
-16.88154044,64.577363,Iceland
75.70025,20.553111,India
75.17917,20.02639,India
78.021528,27.179806,India
78.04222,27.17417,India
86.09472,19.8875,India
80.19167,12.61667,India
93.41666667,26.66666667,India
91.03055556,26.725,India
77.50861111,27.15888889,India
73.91167,15.50222,India
79.92222,24.85222,India
76.47167,15.31444,India
77.6665,27.097528,India
75.81667,15.94833,India
72.93583,18.96667,India
79.1325,10.78305556,India
88.89583333,21.945,India
